"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"25/03/2024","69.892,0","67.216,4","71.118,8","66.395,0","124,72K","3,99%"
"24/03/2024","67.211,9","64.036,5","67.587,8","63.812,9","65,59K","4,96%"
"23/03/2024","64.037,8","63.785,6","65.972,4","63.074,9","35,11K","0,40%"
"22/03/2024","63.785,5","65.501,5","66.633,3","62.328,3","72,43K","-2,62%"
"21/03/2024","65.503,8","67.860,0","68.161,7","64.616,1","75,26K","-3,46%"
"20/03/2024","67.854,0","62.046,8","68.029,5","60.850,9","133,53K","9,35%"
"19/03/2024","62.050,0","67.594,1","68.099,6","61.560,6","148,08K","-8,20%"
"18/03/2024","67.594,1","68.389,7","68.920,1","66.601,4","78,07K","-1,17%"
"17/03/2024","68.391,2","65.314,2","68.857,7","64.605,5","66,07K","4,71%"
"16/03/2024","65.314,2","69.456,5","70.037,0","64.971,0","75,82K","-5,97%"
"15/03/2024","69.463,7","71.387,1","72.398,1","65.765,6","148,59K","-2,69%"
"14/03/2024","71.387,5","73.066,7","73.740,9","68.717,2","109,43K","-2,30%"
"13/03/2024","73.066,3","71.461,9","73.623,5","71.338,4","77,18K","2,23%"
"12/03/2024","71.470,2","72.099,1","72.916,7","68.845,6","105,09K","-0,87%"
"11/03/2024","72.099,1","68.964,7","72.771,5","67.452,8","114,72K","4,54%"
"10/03/2024","68.964,8","68.360,7","69.905,3","68.165,0","53,49K","0,88%"
"09/03/2024","68.366,5","68.178,5","68.576,9","67.923,9","30,71K","0,29%"
"08/03/2024","68.172,0","66.854,4","69.904,0","66.170,7","112,67K","1,97%"
"07/03/2024","66.855,3","66.074,6","67.985,5","65.602,6","77,47K","1,17%"
"06/03/2024","66.080,4","63.794,7","67.604,9","62.848,7","117,91K","3,59%"
"05/03/2024","63.792,6","68.273,1","69.063,1","60.138,2","207,60K","-6,56%"
"04/03/2024","68.270,1","63.135,8","68.495,1","62.746,8","130,86K","8,13%"
"03/03/2024","63.135,8","61.955,6","63.227,3","61.399,4","38,01K","1,84%"
"02/03/2024","61.994,5","62.397,7","62.446,3","61.621,9","33,80K","-0,65%"
"01/03/2024","62.397,7","61.157,3","63.147,3","60.790,9","74,96K","2,01%"
"29/02/2024","61.169,3","62.467,1","63.653,4","60.512,5","119,29K","-2,08%"
"28/02/2024","62.467,6","57.048,7","63.915,3","56.704,9","173,64K","9,48%"
"27/02/2024","57.056,2","54.491,1","57.555,2","54.464,0","100,48K","4,70%"
"26/02/2024","54.495,1","51.722,7","54.899,1","50.925,2","78,05K","5,36%"
"25/02/2024","51.722,7","51.572,1","51.952,0","51.299,0","23,61K","0,29%"
"24/02/2024","51.571,6","50.739,6","51.689,9","50.592,0","20,99K","1,64%"
"23/02/2024","50.740,5","51.320,6","51.532,5","50.537,6","43,27K","-1,13%"
"22/02/2024","51.320,4","51.850,2","52.015,8","50.947,3","50,27K","-1,04%"
"21/02/2024","51.858,2","52.263,5","52.367,3","50.676,9","59,02K","-0,78%"
"20/02/2024","52.263,5","51.783,1","52.936,8","50.801,8","68,10K","0,93%"
"19/02/2024","51.783,6","52.119,6","52.484,8","51.694,2","36,73K","-0,64%"
"18/02/2024","52.117,5","51.646,0","52.350,3","51.199,6","26,89K","0,91%"
"17/02/2024","51.646,0","52.134,2","52.175,5","50.652,3","32,45K","-0,94%"
"16/02/2024","52.134,2","51.901,4","52.556,7","51.612,6","52,86K","0,45%"
